
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 14240.7, 126.347, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 14414, 9.05, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Randon Density, 14629.7, 300.458, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Interchange, 14267.2, 226.862, 0,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.2, Hill Climb with Shift, 14629.7, 6.086, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Density, 16582.9, 57.726, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 16580.7, 16.431, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 16582.9, 15.484, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, HMeans, 16352, 0.161, 13,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 12846.7, 181.624, 13,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 16352, 11.533, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, HMeans, 15684.1, 0.101, 7,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 14916.1, 411.409, 7,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 15684.1, 11.304, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, HMeans, 16690.6, 0.225, 20,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 15953.6, 106.804, 20,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 16690.6, 14.01, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, HMeans, 16499.9, 0.07, 6,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 15379.5, 291.831, 6,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 16499.9, 9.087, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, HMeans, 20051.4, 0.159, 13,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 19136, 324.423, 13,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 20051.4, 11.682, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, HMeans, 14408.8, 0.112, 9,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 14138.9, 239.185, 9,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 14394.2, 34.914, 3,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, HMeans, 16963, 0.092, 8,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 16102.8, 190.531, 8,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 16963, 11.991, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, HMeans, 13504.5, 0.145, 11,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 13335.9, 192.354, 11,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 13504.5, 12.364, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, HMeans, 14056.7, 0.124, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 13551.5, 269.955, 10,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 14029.2, 30.243, 3,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, HMeans, 16595.5, 0.135, 11,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 15465.8, 346.177, 11,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 16588.4, 23.919, 2,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, JMeans, 16759.5, 426.645, 24,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 16122.3, 124.893, 24,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 16759.5, 15.74, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, JMeans, 16495.6, 579.909, 23,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 15849.3, 152.198, 23,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 16495.6, 14.168, 1,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, JMeans, 17104.6, 385.462, 15,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Interchange, 16019.5, 330.921, 15,
/home/wagner/src/CCP/instances/AES/Santa_Maria.dat, 1.3, Hill Climb with Shift, 16796.9, 17.984, 3,
